module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
ov095	0x02135f94	SeesawBob_Spawn	daObjSeesaw_c_classInit_BOMB_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBob_Spawn	daObjSeesaw_c_classInit_BOMB_SEESAW	4	port/hal/actor_classes.inc;port/hal/actor_classes_bob_world.cpp;port/slice_gate83.txt;port/slice_w9d.txt
ov095	0x02135fc4	SeesawUtm_Spawn	daObjSeesaw_c_classInit_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawUtm_Spawn	daObjSeesaw_c_classInit_SEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w11.txt
ov095	0x0213679c	UpDownLiftRr_Spawn	daUdlift_c_classInit_RC_RIFT02	plain	one main-only spelling of the same kind	-	-	UpDownLiftRr_Spawn	daUdlift_c_classInit_RC_RIFT02	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w11.txt
ov095	0x021367cc	UpDownLiftHmc_Spawn	daUdlift_c_classInit_UDLIFT	plain	one main-only spelling of the same kind	-	-	UpDownLiftHmc_Spawn	daUdlift_c_classInit_UDLIFT	3	port/hal/actor_classes.inc;port/hal/actor_classes_updownlift.cpp;port/slice_gate173.txt
ov095	0x021367fc	UpDownLiftBbh_Spawn	daUdlift_c_classInit_UDLIFT_TERESA	plain	one main-only spelling of the same kind	-	-	UpDownLiftBbh_Spawn	daUdlift_c_classInit_UDLIFT_TERESA	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w5a.txt
ov095	0x02136ed4	Flamethrower_Spawn	daObjFlamethrower_c_classInit	plain	one main-only spelling of the same kind	-	-	Flamethrower_Spawn	daObjFlamethrower_c_classInit	5	port/hal/actor_classes.inc;port/hal/actor_classes_flamethrower.cpp;port/ov095_syms.txt;port/slice_w6f.txt;port/unmatched/Flamethrower_Behavior.c
ov095	0x021373dc	SeesawUtm_SpawnInfo	g_profile_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawUtm_SpawnInfo	g_profile_SEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x021373f8	SeesawBdw_SpawnInfo	g_profile_KM1_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBdw_SpawnInfo	g_profile_KM1_SEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x02137414	SeesawBfs_SpawnInfo	g_profile_KM2_YOKOSEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBfs_SpawnInfo	g_profile_KM2_YOKOSEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x02137430	SeesawBsPlank_SpawnInfo	g_profile_KM3_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBsPlank_SpawnInfo	g_profile_KM3_SEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
