class_name	state	header_path	base_class	subclass_count	overlays	method_count
daObj1UpLogo_c	DONE	include\OneUpLogo.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	6
daObjAbuku_c	DONE	include\daObjAbuku_c.h	dActor_c	0	ov002	4
daObjBkBillboard_c	DONE	include\daObjBkBillboard_c.h	dActor_c	0	ov015	5
daObjBlockItemTag_c	DONE	include\BrickBlock.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	10
daObjC1Hikari_c	DONE	include\LightBeam.h  [alias: header uses pre-rename name]	dActor_c	0	ov010	6
daObjC1Peach_c	DONE	include\PeachPainting.h  [alias: header uses pre-rename name]	dActor_c	0	ov010	7
daObjClockHuriko_c	DONE	include\daObjClockHuriko_c.h	dActor_c	0	ov013	6
daObjClock_c	DONE	include\ClockPaintingHandShort.h  [alias: header uses pre-rename name]	dActor_c	0	ov013	6
daObjCloset_c	DONE	include\RecRoomCupboard.h  [alias: header uses pre-rename name]	dActor_c	0	ov058	5
daObjDlPyramidDummy_c	DONE	include\PyramidTag.h  [alias: header uses pre-rename name]	dActor_c	0	ov024	4
daObjFire_c	DONE	include\BlueFlame.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	6
daObjFl_Coin_c	PARTIAL	include\daObjFl_Coin_c.h	dActor_c	0	ov064	4
daObjFlamethrower_c	DONE	include\Flamethrower.h  [alias: header uses pre-rename name]	dActor_c	0	ov095	4
daObjHeart_c	DONE	include\HealingHeart.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	6
daObjHsBillboard_c	DONE	include\daObjHsBillboard_c.h	dActor_c	0	ov031	5
daObjKb1Billboard_c	DONE	include\daObjKb1Billboard_c.h	dActor_c	0	ov044	6
daObjKinokoTag_c	DONE	include\daObjKinokoTag_c.h	dActor_c	0	ov002	7
daObjKm2_Nobiru_c	DONE	include\ExtendingPlatform.h  [alias: header uses pre-rename name]	dActor_c	0	ov045	9
daObjKumo_c	DONE	include\daObjKumo_c.h	dActor_c	0	ov039	6
daObjLava_c	DONE	include\PoppingLavaBubbles.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	3
daObjNumber_c	DONE	include\Number.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	6
daObjPowerUpItem_c	DONE	include\PowerFlower.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	7
daObjRc_Hane_c	DONE	include\daObjRc_Hane_c.h	dActor_c	0	ov036	6
daObjShell_c	DONE	include\Clam.h  [alias: header uses pre-rename name]	dActor_c	0	ov064	6
daObjTbox_c	DONE	include\TreasureChest.h  [alias: header uses pre-rename name]	dActor_c	0	ov064	15
daObjWakame_c	DONE	include\daObjWakame_c.h	dActor_c	0	ov002	6
daObjWaterfall_c	DONE	include\daObjWaterfall_c.h	dActor_c	0	ov002	4
daObjWc_Obj03_c	DONE	include\daObjWc_Obj03_c.h	dActor_c	0	ov029	9
daObjWlPolelift_c	DONE	include\daObjWlPolelift_c.h	dActor_c	0	ov026	6
daObj_volcanoCannon_c	DONE	include\VolcanoFire.h  [alias: header uses pre-rename name]	dActor_c	0	ov022	6
daPeach_c	DONE	include\PrincessPeach.h  [alias: header uses pre-rename name]	dActor_c	0	ov085	23
daPgBby_c	DONE	include\BabyPenguin.h  [alias: header uses pre-rename name]	dActor_c	0	ov072	9
daPgMthr_c	DONE	include\daPgMthr_c.h	dActor_c	0	ov018	7
daPgRcer_c	DONE	include\RacingPenguin.h  [alias: header uses pre-rename name]	dActor_c	0	ov019	7
daPicGate_c	PARTIAL	include\daPicGate_c.h	dActor_c	0	ov080	7
daPly_c	DONE	include\Player.h  [alias: header uses pre-rename name]	dActor_c	0	ov002;ov006	248
daRFlag_c	DONE	include\KoopaFlag.h  [alias: header uses pre-rename name]	dActor_c	0	ov062	6
