path	tier	module	rtti_class	class_names	evidence	funcs_in_file	cpp_marker	has_header	extern_ZTV	blockers
src/_ZN5Spiny16CleanupResourcesEv.c	P1-vtable+mangled	ov077	daTgz_c	Spiny/daTgz_c	vtable daTgz_c slot 3 @0x2125eb0 | _ZN5Spiny16CleanupResourcesEv	1		True		-
src/_ZN5Spiny16OnPendingDestroyEv.c	P1-vtable+mangled	ov077	daTgz_c	Spiny/daTgz_c	vtable daTgz_c slot 12 @0x2125eec | _ZN5Spiny16OnPendingDestroyEv	1		True		-
src/_ZN5SpinyD0Ev.c	DTOR-ONLY	ov077	daTgz_c	Spiny/daTgz_c	_ZN5SpinyD0Ev	1		True		-
src/_ZN5StageC3Ev.c	P3-mangled-method-only	arm9		Stage	_ZN5StageC3Ev	1		True	_ZTV5Stage/_ZTV8dScene_c	-
src/_ZN5StumpD0Ev.c	DTOR-ONLY	ov091	daObjPile_c	Stump/daObjPile_c	_ZN5StumpD0Ev	1		True	_ZTV10dBgActor_c/_ZTV5Stump	-
src/_ZN5Ukiki16CleanupResourcesEv.c	P1-vtable+mangled	ov030	daMky_c	Ukiki/daMky_c	vtable daMky_c slot 3 @0x21141c4 | _ZN5Ukiki16CleanupResourcesEv	1		True		-
src/_ZN5Ukiki16OnPendingDestroyEv.c	P1-vtable+mangled	ov030	daMky_c	Ukiki/daMky_c	vtable daMky_c slot 12 @0x211422c | _ZN5Ukiki16OnPendingDestroyEv	1		True		-
src/_ZN5UkikiD0Ev.c	DTOR-ONLY	ov030	daMky_c	Ukiki/daMky_c	_ZN5UkikiD0Ev	1		True		-
src/_ZN6CameraC1Ev.c	P3-mangled-method-only	arm9		Camera	_ZN6CameraC1Ev	1		True	_ZTV4View/_ZTV6Camera	-
src/_ZN6CameraD0Ev.cpp	DTOR-ONLY	arm9	dCamera_c	Camera/dCamera_c	_ZN6CameraD0Ev	1		True	_ZTV4View/_ZTV6Camera	-
src/_ZN6CameraD1Ev.cpp	DTOR-ONLY	arm9	dCamera_c	Camera/dCamera_c	_ZN6CameraD1Ev	1		True	_ZTV4View/_ZTV6Camera	-
src/_ZN6Cannon16CleanupResourcesEv.c	P1-vtable+mangled	ov098	daCnn_c	Cannon/daCnn_c	vtable daCnn_c slot 3 @0x213b1d8 | _ZN6Cannon16CleanupResourcesEv	1		True		-
src/_ZN6CannonD0Ev.cpp	DTOR-ONLY	ov098	daCnn_c	Cannon/daCnn_c	_ZN6CannonD0Ev	1		True		-
src/_ZN6CoffinD0Ev.c	DTOR-ONLY	ov071	daObjCasket_c	Coffin/daObjCasket_c	_ZN6CoffinD0Ev	1		True	_ZTV10dBgActor_c/_ZTV6Coffin	-
src/_ZN6CoffinD1Ev.c	DTOR-ONLY	ov071	daObjCasket_c	Coffin/daObjCasket_c	_ZN6CoffinD1Ev	1		True	_ZTV10dBgActor_c/_ZTV6Coffin	-
src/_ZN6Eyerok16OnPendingDestroyEv.c	P1-vtable+mangled	ov066	daIwante_c	Eyerok/daIwante_c	vtable daIwante_c slot 12 @0x21197a0 | _ZN6Eyerok16OnPendingDestroyEv	1		True		-
