class_name	shard_count	total_lines	overlay	has_header	already_promoted	blockers	sibling_oracle
BowserSkyPlatform	9	311	ov060	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
RockPillar	7	230	ov016	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjKi_Ita_c
RotatingFirebar	6	212	ov064	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Gura_c
PyramidLift	6	240	ov025	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
RotatingPlatformLll	4	74	ov022	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
RollingLogTtm	5	93	ov030	unknown	no	pragma:3;owns-vtable:1syms(needs production_mode=intact-object)	-
RecRoomCupboard	5	230	ov058	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
FallBlockBbh	4	59	ov063	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
Flamethrower	4	283	ov095	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
PyramidTag+PyramidTop	14	291	ov024	unknown	no	pragma:1;multi-class-tu:2;owns-vtable:2syms(needs production_mode=intact-object)	-
dMg3DHeyhoObjAdapter_c	1	7	ov006	no	no	owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dMgCardObj_c+dMgDilarCardObj_c+dScMgCard_c	1	1901	ov006	no	no	multi-class-tu:3;owns-vtable:7syms(needs production_mode=intact-object);already-one-legacy-file:src/actors/dScMgCard_c.cpp(needs manifest registration, not a shard merge);classif:no-header:dMgCardObj_c;classif:no-header:dMgDilarCardObj_c	dScMgSingle3DBase_c
dMgMCarloCardObj_c+dScMgMCarlo_c	1	1149	ov006	no	no	multi-class-tu:2;owns-vtable:5syms(needs production_mode=intact-object);already-one-legacy-file:src/actors/dScMgMCarlo_c.cpp(needs manifest registration, not a shard merge);classif:no-header:dMgMCarloCardObj_c	dScMgSingle3DBase_c
