actor_id	profile_id	profile_id_source	debug_string_address	candidate_ordinal	registry_candidate_count	overlay_ambiguous	overlay	profile_address	current_profile_name	proposed_profile_name	descriptor_layout	profile_index	profile_index_matches_actor_id	execute_order	draw_order	group_flags	group_flags_evidence	actor_flags	clip_offset_y	clip_radius	clip_distance	far_distance	factory_module	factory_address	current_factory_name	current_factory_file	proposed_factory_name	factory_shape	alloc_size	installed_vtable	class_name	class_name_source	proposed_factory_collision	class_filename_candidate	tu_start	tu_end	profile_rename_recommended	factory_rename_recommended	recommendation_evidence
339	MC_METALNET	symbols/actor_debug_names.tsv (literal ROM string table)	0x02090200	1	2	True	ov009	0x02113abc	MetalNet_SpawnInfo	g_profile_MC_METALNET	actor_profile_0x1c	339	True	339	339		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000002	0x00000000	0x00500000	0x01000000	0x00000000	ov009	0x02112048	MetalNet_Spawn	src/MetalNet_Spawn.c	daObjMc_Metalnet_c_classInit	new_plus_inlined_ctor	0x00000320	0x02113ae0	daObjMc_Metalnet_c	SM64DS RTTI ov009:0x02113a98		d_a_obj_mc_metalnet.cpp	0x2111dc4	0x2112078	no	no	not_apply=overlay_multiplexed_registry_pointer
339	MC_METALNET	symbols/actor_debug_names.tsv (literal ROM string table)	0x02090200	2	2	True	ov026	0x02113abc	data_ov026_02113abc	g_profile_MC_METALNET	actor_profile_0x1c	89	False	89	250		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00000000	0x00400000	0x01000000	0x01000000	ov026	0x02111678	func_ov026_02111678	src/func_ov026_02111678.cpp	daObjWlPolelift_c_classInit	new_plus_inlined_ctor	0x000001e4	0x02113ae0	daObjWlPolelift_c	SM64DS RTTI ov026:0x02113a90		d_a_obj_wl_polelift.cpp	0x2111678	0x21116c8	no	no	not_apply=overlay_multiplexed_registry_pointer
340	MC_DODAI	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fa2c	1	1	False	ov102	0x0214e150	CgStairs_SpawnInfo	g_profile_MC_DODAI	actor_profile_0x1c	340	True	340	340		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00060000	0x00300000	0x01000000	0x00000000	ov102	0x02148ecc	CgStairs_Spawn	src/CgStairs_Spawn.c	daObjSimpleBg_c_classInit	new_plus_inlined_ctor	0x00000320	0x0214e1d8	daObjSimpleBg_c	SM64DS RTTI ov102:0x0214e0c0	ov102:0x02148e9c;ov102:0x02148ecc;ov102:0x02148efc;ov102:0x02148f2c;ov102:0x02148f5c;ov102:0x02148f8c	d_a_obj_simple_bg.cpp	0x2148a80	0x2148fbc	yes	no	not_apply=global_classinit_name_collision
341	MC_HAZAD	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fa38	1	1	False	ov102	0x0214e16c	RopeBarrier_SpawnInfo	g_profile_MC_HAZAD	actor_profile_0x1c	341	True	341	341		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00060000	0x00300000	0x01000000	0x00000000	ov102	0x02148e9c	RopeBarrier_Spawn	src/RopeBarrier_Spawn.c	daObjSimpleBg_c_classInit	new_plus_inlined_ctor	0x00000320	0x0214e1d8	daObjSimpleBg_c	SM64DS RTTI ov102:0x0214e0c0	ov102:0x02148e9c;ov102:0x02148ecc;ov102:0x02148efc;ov102:0x02148f2c;ov102:0x02148f5c;ov102:0x02148f8c	d_a_obj_simple_bg.cpp	0x2148a80	0x2148fbc	yes	no	not_apply=global_classinit_name_collision
342	MC_FLAG	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f930	1	1	False	ov009	0x02113b7c	daMcFlag_c_SpawnInfo	g_profile_MC_FLAG	actor_profile_0x1c	342	True	342	342		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x20000003	0x000c8000	0x000c8000	0x03000000	0x00000000	ov009	0x021121f0	daMcFlag_c_Spawn	src/actors/d_a_mc_flag.cpp	daMcFlag_c_classInit	new_plus_inlined_ctor	0x00000138	0x02113ba0	daMcFlag_c	SM64DS RTTI ov009:0x02113b60		d_a_mc_flag.cpp	0x2112078	0x2112228	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
343	SBIRD	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f700	1	1	False	ov009	0x02113934	Bird_SpawnInfo	g_profile_SBIRD	actor_profile_0x1c	343	True	343	343		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00010002	0x00000000	0x00028000	0x01000000	0x00320000	ov009	0x02111a30	Bird_Spawn	src/Bird_Spawn.c	daSBird_c_classInit	new_plus_inlined_ctor	0x00000184	0x02113958	daSBird_c	SM64DS RTTI ov009:0x02113928		d_a_s_bird.cpp	0x21111a0	0x2111a70	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
344	FISH	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f6a0	1	1	False	ov100	0x02148498	Fish_SpawnInfo	g_profile_FISH	actor_profile_0x1c	344	True	344	344		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00010002	0x00000000	0x0001e000	0x01000000	0x004b0000	ov100	0x02146d38	Fish_Spawn	src/Fish_Spawn.cpp	daFish_c_classInit	new_plus_inlined_ctor	0x00000160	0x021484bc	daFish_c	SM64DS RTTI ov100:0x0214848c		d_a_fish.cpp	0x214620c	0x2146d7c	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
345	FEATHER	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f8d8	1	1	False	ov002	0x02108884	WingFeather_SpawnInfo	g_profile_FEATHER	actor_profile_0x1c	345	True	345	345		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000002	0x00060000	0x00200000	0x01000000	0x01000000	ov002	0x020b3248	WingFeather_Spawn	src/game/actors/WingFeather/WingFeather_Spawn.c	daFeather_c_classInit	new_plus_inlined_ctor	0x00000388	0x021088a8	daFeather_c	SM64DS RTTI ov002:0x02108868		d_a_feather.cpp	0x20b2ba0	0x20b3298	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
346	ENTRY_OBJECT	symbols/actor_debug_names.tsv (literal ROM string table)	0x02090428	1	1	False	ov075	0x0211c610	UnknownVsEntry_SpawnInfo	g_profile_ENTRY_OBJECT	actor_profile_0x1c	346	True	346	346		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x0211478c	0x00000000	0x02114560	0x00000000	0x02114010	ov075	0x021159f4	UnknownVsEntry_Spawn	src/UnknownVsEntry_Spawn.cpp	dEntObj_c_classInit	new_plus_inlined_ctor	0x00000f48	0x0211c6a0	dEntObj_c	SM64DS RTTI ov075:0x0211c66c		d_ent_obj.cpp	0x2113ee0	0x2115ab8	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
347	WARPKUN	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f8f0	1	1	False	ov002	0x0210ac98	daWarpkun_c_SpawnInfo	g_profile_WARPKUN	actor_profile_0x1c	347	True	347	347		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000003	0x00000000	0x0000a000	0x00960000	0x00000000	ov002	0x020ec534	daWarpkun_c_Spawn	src/daWarpkun_c_Spawn.c	daWarpkun_c_classInit	new_plus_inlined_ctor	0x00000108	0x0210acbc	daWarpkun_c	SM64DS RTTI ov002:0x0210ac7c		d_a_warpkun.cpp	0x20ec388	0x20ec56c	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
