module	addr	old	new	why
ov100	0x02143d08	func_ov100_02143d08	_ZN14UnchainedChomp16OnPendingDestroyEv	vtable slot 12
ov100	0x02143d0c	func_ov100_02143d0c	_ZN14UnchainedChomp6RenderEv	vtable slot 9
ov100	0x02143d64	func_ov100_02143d64	_ZN14UnchainedChomp8BehaviorEv	vtable slot 6
ov100	0x02144088	func_ov100_02144088	_ZN14UnchainedChomp13InitResourcesEv	vtable slot 0
ov100	0x021442dc	func_ov100_021442dc	UnchainedChomp_Spawn	spawnfunc
ov100	0x0214589c	func_ov100_0214589c	Door_Spawn	spawnfunc
ov100	0x021458d4	func_ov100_021458d4	_ZN4DoorD1Ev	vtable slot 16
ov100	0x02145904	func_ov100_02145904	_ZN4DoorD0Ev	vtable slot 17
ov100	0x02145fbc	func_ov100_02145fbc	_ZN4Door16CleanupResourcesEv	vtable slot 3
ov100	0x02145fe0	func_ov100_02145fe0	_ZN4Door16OnPendingDestroyEv	vtable slot 12
ov100	0x02145fe4	func_ov100_02145fe4	_ZN4Door6RenderEv	vtable slot 9
ov100	0x021460dc	func_ov100_021460dc	_ZN4Door8BehaviorEv	vtable slot 6
ov100	0x0214612c	func_ov100_0214612c	_ZN4Door13InitResourcesEv	vtable slot 0
ov100	0x021461d4	func_ov100_021461d4	StarDoor_Spawn	spawnfunc
ov100	0x0214620c	func_ov100_0214620c	_ZN4FishD1Ev	vtable slot 16
ov100	0x0214623c	func_ov100_0214623c	_ZN4FishD0Ev	vtable slot 17
ov100	0x02146a98	func_ov100_02146a98	_ZN4Fish16CleanupResourcesEv	vtable slot 3
ov100	0x02146b00	func_ov100_02146b00	_ZN4Fish16OnPendingDestroyEv	vtable slot 12
ov100	0x02146b04	func_ov100_02146b04	_ZN4Fish6RenderEv	vtable slot 9
ov100	0x02146b38	func_ov100_02146b38	_ZN4Fish8BehaviorEv	vtable slot 6
ov100	0x02146c68	func_ov100_02146c68	_ZN4Fish13InitResourcesEv	vtable slot 0
ov100	0x02146d38	func_ov100_02146d38	Fish_Spawn	spawnfunc
ov100	0x02147328	func_ov100_02147328	PathLift_Spawn	spawnfunc
ov100	0x02147e78	data_ov100_02147e78	Butterfly_SpawnInfo	spawninfo
ov100	0x02147e9c	data_ov100_02147e9c	_ZTV9Butterfly	vtable alloc=0x3f4
ov100	0x02147f58	data_ov100_02147f58	RollingIronBall_SpawnInfo	spawninfo
ov100	0x02147f7c	data_ov100_02147f7c	_ZTV15RollingIronBall	vtable alloc=0x3fc
ov100	0x02148030	data_ov100_02148030	UnchainedChomp_SpawnInfo	spawninfo
ov100	0x02148054	data_ov100_02148054	_ZTV14UnchainedChomp	vtable alloc=?
ov100	0x02148164	data_ov100_02148164	Door_SpawnInfo	spawninfo
ov100	0x021483a8	data_ov100_021483a8	StarDoor_SpawnInfo	spawninfo
ov100	0x021483cc	data_ov100_021483cc	_ZTV4Door	vtable alloc=0x148
ov100	0x02148498	data_ov100_02148498	Fish_SpawnInfo	spawninfo
