225	SHARK	0x208f788
226	MANTA	0x208f740
227	PUKUPUKU	0x208fad4
228	BAKUBAKU	0x208fae0
229	OBJ_MIP_KEY	0x20902d8
230	MENBO	0x208f730
231	HYUHYU	0x208f820
232	PROPELLER_HEYHO	0x2090748
233	PROPELLER_HEYHO_FIRE	0x209084c
234	OWL	0x208f670
235	C_JUGEM	0x208f908
236	YUREI_MUCHO	0x20902f0
237	BASABASA	0x208fa68
238	POPOI	0x208f6e0
239	JANGO	0x208f6d0
240	SANBO	0x208f760
241	SANBO_BODY	0x2090080
242	MORAY	0x208f780
243	OBJ_VOLCANO_CANNON	0x2090838
244	WATER_RING	0x20900a4
245	WATER_HAKIDASI	0x20906d8
246	WATER_TATUMAKI	0x20906e8
247	WATER_SUIKOMI	0x20905f8
248	HANACHAN	0x208fb58
249	PIANO	0x208f6f8
250	PAKUN	0x208f6f0
251	FIREPAKUN	0x208fc24
252	FIREPAKUN_S	0x209032c
253	PAKUN2	0x208f7b8
254	FPAKUN_BALL	0x2090344
255	SPIDER	0x208f7b0
256	PENGUIN_BABY	0x2090508
257	PENGUIN_MOTHER	0x20906f8
258	PENGUIN_DEFENDER	0x2090810
259	PENGUIN_RACER	0x2090608
260	TOGEZO	0x208f840
261	GAMAGUCHI	0x208fee8
262	EYEKUN	0x208f818
263	EYEKUN_BOSS	0x20903a4
264	EYEKUN_BEAM	0x20903b0
265	JUGEM	0x208f778
266	BIRIKYU	0x208f948
267	MONKEY_THIEF	0x20903c8
268	MONKEY_STAR	0x2090194
269	OBJ_MARIO_CAP	0x2090538
270	KERONPA	0x208f8f8
271	KERONPA_FIRE	0x20903e8
272	BIG_SNOWMAN	0x20901c4
273	BIG_SNOWMAN_HEAD	0x2090798
274	BIG_SNOWMAN_BODY	0x20907ac
275	SNOWMAN_BREATH	0x2090648
276	ONEUPKINOKO	0x20901e8
277	SCALEUP_KINOKO	0x2090658
278	KOOPATAIL	0x208fc48
279	KOOPA	0x208f758
280	KOOPAFIRE	0x208fc6c
281	FIRERING	0x208f9e4
282	OBJ_KEY	0x208f990
283	LAST_STAR	0x208fc9c
284	KIRAI	0x208f720
285	SHELL	0x208f770
286	TREE	0x208f6c0
287	BAR	0x208f674
288	COIN	0x208f6c8
289	RED_COIN	0x208fa50
290	BLUE_COIN	0x208fcb4
291	OBJ_ABUKU	0x208fccc
292	CLOCK_SHORT	0x2090230
293	CLOCK_LONG	0x208ffa8
294	CLOCK_HURIKO	0x2090408
295	ICE_BOARD	0x208fcfc
296	WAKAME	0x208f7c0
297	HEART	0x208f748
298	DOKAN	0x208f6d8
299	YAJIRUSI_L	0x208ffc0
300	YAJIRUSI_R	0x208ffe4
301	KB1_BILLBOARD	0x2090578
302	HS_MOON	0x208f888
303	HS_STAR	0x208f878
304	HS_Y_STAR	0x208fd74
305	HS_B_STAR	0x208fd44
306	POWER_UP_ITEM	0x20905b8
307	PICTURE_GATE	0x2090488
308	TORNADO	0x208f880
309	ONIMASU	0x208f998
310	CHOROPU	0x208f910
311	CHORO_ROCK	0x2090038
312	HUWAHUWA	0x208faec
313	SLIDE_BOX	0x208fe04
314	OBJ_KUMO	0x208fb94
315	OBJ_SHELL	0x208fe28
316	OBJ_RED_FIRE	0x20904b8
317	OBJ_BLUE_FIRE	0x20905d8
318	OBJ_FLAMETHROWER	0x20907fc
319	KINOKO_CREATE_TAG	0x2090824
320	KINOKO_TAG	0x20900b0
321	BLK_OKINOKO_TAG	0x2090758
322	BLK_SKINOKO_TAG	0x2090768
323	BLK_GNSHELL_TAG	0x2090778
324	BLK_SLVSTAR_TAG	0x2090788
325	SHOOT_BOOK	0x2090134
326	CHAIR	0x208f6e8
327	KILLER_BOOK	0x209038c
328	BOOK_GENERATOR	0x2090708
329	SECRET_COIN	0x20903bc
330	OBJ_NUMBER	0x208ff3c
331	OBJ_1UPLOGO	0x20901a0
332	CAMERA	0x208f7e0
333	CAMERA_TAG	0x208ff78
334	METER	0x208f710
335	MAP	0x208f67c
336	BUTTERFLY	0x208fc60
337	WANWAN2	0x208f8a8
338	MC_WATER	0x208f9f0
339	MC_METALNET	0x2090200
340	MC_DODAI	0x208fa2c
341	MC_HAZAD	0x208fa38
342	MC_FLAG	0x208f930
343	SBIRD	0x208f700
344	FISH	0x208f6a0
345	FEATHER	0x208f8d8
346	ENTRY_OBJECT	0x2090428
347	WARPKUN	0x208f8f0
348	CH_ROOM	0x208f920
349	CH_SCENE	0x208faa4
350	SET_SE	0x208f7d0
351	MUGEN_BGM	0x208fdbc
352	DEMO	0x208f688
353	DOOR	0x208f690
354	STAR_GATE	0x208fe10
355	STAR_CREATE	0x20902fc
356	SLIDER_MANAGER	0x20906c8
357	ENEMY_SWITCH	0x20904e8
358	ENEMY_CREATE	0x20904f8
359	SOUND_OBJ	0x208fe88
360	MULTIBOOT	0x208feb8
361	MG_CUP	0x208f830
362	MG_MEMORY	0x208fc18
363	MG_MEMORY_J	0x20901d0
364	MG_SLOT1	0x208fc00
365	MG_SLOT3	0x208f9d8
366	MG_LUIGI	0x208fbc4
367	MG_SOUND	0x208fa14
368	MG_PACHINKO	0x2090224
369	MG_TAMAIRE	0x208ffb4
370	MG_BOMROOM	0x208ffd8
371	MG_AMIDA	0x208fa80
372	MG_JUMP	0x208f928
373	MG_JUMP2	0x208fba0
374	MG_CURLING	0x209008c
375	MG_CURLING_J	0x20904d8
376	MG_SMARTBALL	0x2090518
377	MG_SNOWBALL	0x2090380
378	MG_COIN	0x208f8c8
379	MG_CARD	0x208f8a0
