0x02010c5c	_ZN5Actor28UpdatePosWithHorzSpeedAndAngEv	function
0x02010d40	_ZN5Actor22UpdatePosWithOnlySpeedEP12CylinderClsn	function
0x02010e08	_ZN5Actor9SetRangesE5Fix12IiES1_S1_S1_	function
0x02010e2c	_ZN5Actor5SpawnEjjRK7Vector3PK10Vector3_16ii	function
0x02010ecc	_ZN5Actor4NextEPKS_	function
0x02010ef0	_ZN5Actor15FindWithActorIDEjPS_	function
0x02010f3c	_ZN5Actor10FindWithIDEj	function
0x02010f6c	_ZN5Actor11AfterRenderEj	function
0x02010f78	_ZN5Actor12BeforeRenderEv	function
0x02010fc8	_ZN5Actor13AfterBehaviorEj	function
0x02010fd4	_ZN5Actor14BeforeBehaviorEv	function
0x02011214	_ZN5Actor21AfterCleanupResourcesEj	function
0x02011220	_ZN5Actor22BeforeCleanupResourcesEv	function
0x02011244	_ZN5Actor18AfterInitResourcesEj	function
0x02011268	_ZN5Actor19BeforeInitResourcesEv	function
0x020112c8	_ZN5ActorD1Ev	function
0x02011314	_ZN5ActorD0Ev	function
0x02011374	_ZN5ActorD2Ev	function
0x020113c0	_ZN5ActorC1Ev	function
0x0201150c	_ZN5ActorC2Ev	function
0x02011cc8	DisableSoundPlayersForCredits	function
0x02011e28	Player_PlaySoundEffect	function
0x02011f30	_ZN5Sound21ResetPlayerVoiceGroupEv	function
0x02011fe8	_ZN5Sound21UnsetPlayerVoiceGroupEv	function
0x02011ffc	_ZN5Sound16LoadInitialGroupEi	function
0x0201200c	_ZN5Sound19LoadGroupAndSetBankEii	function
0x02012154	_ZN5Sound13PlayCharVoiceEjjRK7Vector3	function
0x02012328	_ZN5Sound8PlayLongEjjjRK7Vector3j	function
0x02012590	_ZN5Sound4PlayEjjRK7Vector3	function
0x0201264c	_ZN5Sound9PlayBank0EjRK7Vector3	function
0x02012664	_ZN5Sound9PlayBank3EjRK7Vector3	function
0x02012754	_ZN5Sound12PlayBank2_2DEj	function
0x02012768	_ZN5Sound12PlayBank3_2DEj	function
0x02012840	_ZN5Sound6Play2DEjj	function
0x020128c4	_ZN5Sound22StopLoadedMusic_Layer2Ev	function
0x02012940	_ZN5Sound22LoadAndSetMusic_Layer2Ej	function
0x02012998	_ZN5Sound8EndMusicEjj	function
0x02012a68	_ZN5Sound8SetMusicEjj	function
0x02012af8	_ZN5Sound22StopLoadedMusic_Layer3Ev	function
0x02012bbc	_ZN5Sound22LoadAndSetMusic_Layer3Ej	function
0x02012be0	_ZN5Sound7PlaySubEjjj5Fix12IiEb	function
0x02012d2c	_ZN5Sound17ChangeMusicVolumeEj5Fix12IiE	function
0x02012ee4	_ZN5Sound12UnpauseMusicEv	function
0x02012f90	_ZN5Sound10PauseMusicEv	function
0x02013050	_ZN5Sound22StopLoadedMusic_Layer1Ej	function
0x0201320c	_ZN5Sound22LoadAndSetMusic_Layer1Ei	function
0x02013548	GetLevelPart	function
0x02013558	SublevelToLevel	function
0x02013650	_ZN8SaveData21SetCoinRecordIfHigherEah	function
0x0201366c	_ZN8SaveData13GetCoinRecordEj	function
0x0201367c	NumStars	function
0x020136dc	CollectStarInLevel	function
0x020136f8	IsStarCollectedInLevel	function
0x02013714	CountStarsCollectedInLevelToDisplay	function
0x02013768	_ZN8SaveData26CountStarsCollectedInLevelEj	function
0x020137a8	CollectStar	function
0x020137e0	IsStarCollected	function
0x020137fc	OpenCannonInLevel	function
0x02013818	IsCannonOpenInLevel	function
0x02013834	OpenCannon	function
0x02013850	IsCannonOpen	function
0x02013910	_ZN8SaveData17SetCharacterIntroEi	function
0x0201392c	_ZN8SaveData19IsCharacterUnlockedEj	function
0x02013984	_ZN8SaveData22NumGlowingRabbitsFoundEv	function
0x02013ad4	_ZN8SaveData13PlayerLoseCapEv	function
0x02013b18	_ZN8SaveData16HasPlayerLostCapEv	function
0x02013b5c	_ZN8SaveData16CanPlayerHaveCapEv	function
0x02013b9c	_ZN8SaveData15SaveCurrentFileEv	function
0x02013be0	_ZN8SaveData13SaveMinigamesEP16MinigameSaveData	function
0x02013c0c	_ZN8SaveData16ReadMinigameDataEP16MinigameSaveData	function
0x02013c5c	_ZN8SaveData18SetDefaultValuesMgEP16MinigameSaveData	function
0x02013cd4	_ZN8SaveData13EraseSaveFileEjPc	function
0x02013d14	_ZN8SaveData8SaveFileEjP12FileSaveData	function
0x02013d54	_ZN8SaveData12ReadFileDataEjP12FileSaveData	function
0x02013dc4	_ZN8SaveData16SetDefaultValuesEP12FileSaveData	function
0x02013e0c	_ZN8SaveData16EraseAllSaveDataEv	function
0x02013e80	_ZN12ActorDerivedD1Ev	function
0x02013ea4	_ZN12ActorDerivedD0Ev	function
0x02013ee8	_ZN12ActorDerived5SpawnEjP9ActorBaseii	function
0x02013ef4	_ZN12ActorDerived18AfterInitResourcesEj	function
0x02014150	InitCrashScreen	function
0x02014214	ResetCrashScreen	function
0x02014244	ShowCrashScreen	function
0x02014620	nds_printt	function
0x0201470c	nds_printf	function
0x02014770	nds_print	function
0x020147d4	_ZN19CylinderClsnWithPos4InitERK7Vector35Fix12IiES4_jj	function
0x02014818	_ZN19CylinderClsnWithPos10GetOwnerIDEv	function
0x02014820	_ZN19CylinderClsnWithPos6GetPosEv	function
0x02014828	_ZN19CylinderClsnWithPosD0Ev	function
0x02014854	_ZN19CylinderClsnWithPosD1Ev	function
0x02014878	_ZN19CylinderClsnWithPosC1Ev	function
0x0201489c	_ZN25MovingCylinderClsnWithPos21SetPosRelativeToActorERK7Vector3	function
0x020148c8	_ZN25MovingCylinderClsnWithPos4InitEP5ActorRK7Vector35Fix12IiES6_jj	function
0x0201490c	_ZN18MovingCylinderClsn4InitEP5Actor5Fix12IiES3_jj	function
0x0201493c	_ZN18MovingCylinderClsn10GetOwnerIDEv	function
0x02014948	_ZN18MovingCylinderClsn6GetPosEv	function
0x02014954	_ZN18MovingCylinderClsnD2Ev	function
0x02014978	_ZN18MovingCylinderClsnD0Ev	function
0x020149a4	_ZN18MovingCylinderClsnD1Ev	function
0x020149c8	_ZN18MovingCylinderClsnC1Ev	function
0x020149f4	_ZN18MovingCylinderClsnC2Ev	function
0x02014a2c	_ZN25MovingCylinderClsnWithPos6GetPosEv	function
0x02014a34	_ZN25MovingCylinderClsnWithPosD0Ev	function
0x02014a60	_ZN25MovingCylinderClsnWithPosD1Ev	function
0x02014a84	_ZN25MovingCylinderClsnWithPosC1Ev	function
0x02014aa8	_ZN12CylinderClsn7ProcessEv	function
0x02014ff0	_ZN12CylinderClsn6UpdateEv	function
0x02015024	_ZN12CylinderClsn5ClearEv	function
0x02015040	_ZN12CylinderClsn4InitE5Fix12IiES1_jj	function
0x02015058	_ZN12CylinderClsnD2Ev	function
0x0201507c	_ZN12CylinderClsnD0Ev	function
0x020150a8	_ZN12CylinderClsnD1Ev	function
0x020150cc	_ZN12CylinderClsnC2Ev	function
0x020150e8	_ZN7Clipper13Func_020150E8ER7Vector35Fix12IiEPh	function
0x02015560	_ZN7Clipper13Func_02015560ER9Matrix4x3R7Vector35Fix12IiES3_	function
0x0201559c	_ZN7Clipper13Func_0201559CEv	function
0x020156dc	_ZN7Clipper13Func_020156DCEv	function
0x020156fc	_ZN7ClipperD0Ev	function
0x02015720	_ZN7ClipperD1Ev	function
0x02015730	_ZN7ClipperC1Ev	function
0x0201577c	_ZN15MaterialChanger7PrepareER8BMD_FileR8BMA_File	function
0x02015788	_ZN15MaterialChanger6UpdateER15ModelComponents	function
0x020157ac	_ZN15MaterialChanger7SetFileER8BMA_Filei5Fix12IiEj	function
0x02015800	_ZN15MaterialChangerD0Ev	function
0x0201582c	_ZN15MaterialChangerD1Ev	function
0x02015850	_ZN15MaterialChangerC1Ev	function
0x0201587c	_ZN18TextureTransformer7PrepareER8BMD_FileR8BTA_File	function
0x02015888	_ZN18TextureTransformer6UpdateER15ModelComponents	function
0x020158ac	_ZN18TextureTransformer7SetFileER8BTA_Filei5Fix12IiEj	function
0x02015900	_ZN18TextureTransformerD0Ev	function
0x0201592c	_ZN18TextureTransformerD1Ev	function
0x02015950	_ZN18TextureTransformerC1Ev	function
0x0201597c	_ZN15TextureSequence7PrepareER8BMD_FileR8BTP_File	function
0x02015988	_ZN15TextureSequence6UpdateER15ModelComponents	function
0x020159ac	_ZN15TextureSequence7SetFileER8BTP_Filei5Fix12IiEj	function
0x02015a00	_ZN15TextureSequenceD0Ev	function
0x02015a2c	_ZN15TextureSequenceD1Ev	function
0x02015a50	_ZN15TextureSequenceC1Ev	function
0x02015a7c	_ZN9Animation4CopyERKS_	function
0x02015a98	_ZNK9Animation12WillHitFrameEi	function
0x02015bcc	_ZN9Animation8FinishedEv	function
0x02015bec	_ZN9Animation8GetFlagsEv	function
0x02015bf8	_ZN9Animation8SetFlagsEi	function
0x02015c0c	_ZNK9Animation13GetFrameCountEv	function
0x02015c20	_ZN9Animation12SetAnimationEti5Fix12IiEt	function
0x02015c3c	_ZN9Animation7AdvanceEv	function
0x02015cb4	_ZN9AnimationD2Ev	function
0x02015cc4	_ZN9AnimationD0Ev	function
0x02015ce8	_ZN9AnimationD1Ev	function
0x02015cf8	_ZN9AnimationC1Ev	function
0x02015d18	_ZN9AnimationC2Ev	function
0x02015d38	_ZN11ShadowModel9RenderAllEv	function
0x02015e14	_ZN11ShadowModel8CleanAllEv	function
0x02015e64	_ZN11ShadowModel9InitModelEP9Matrix4x35Fix12IiES3_S3_j	function
0x02015ebc	_ZN11ShadowModel12InitCylinderEv	function
0x02015ed8	_ZN11ShadowModel10InitCuboidEv	function
0x02015ef4	_ZN11ShadowModel9DoSetFileEPcii	function
0x02015f80	_ZN11ShadowModelD0Ev	function
0x02015ff8	_ZN11ShadowModelD1Ev	function
0x02016068	_ZN11ShadowModelC1Ev	function
0x0201609c	_ZN11CommonModel13Func_0201609CEj	function
0x020160ac	_ZN11CommonModel13Func_020160ACEj	function
0x02016104	_ZN11CommonModel6RenderEPK7Vector3	function
0x02016144	_ZN11CommonModel9DoSetFileEPcii	function
0x020161b4	_ZN11CommonModelD0Ev	function
0x020161e0	_ZN11CommonModelD1Ev	function
0x02016204	_ZN11CommonModelC1Ev	function
0x02016254	_ZN10ModelAnim24CopyERKS_Pcj	function
0x020162c4	_ZN10ModelAnim213Func_020162C4Eji5Fix12IiEt	function
0x02016320	_ZN10ModelAnim2D0Ev	function
